long,lat,mag,X_mercator,Y_mercator
-179,85,4.53,-10610170.856671814,10634494.268930687
-179,86,4.93,-10610170.856671814,11393108.636102777
-179,87,4.83,-10610170.856671814,12370735.362810196
-179,88,4.48,-10610170.856671814,13748203.065677434
-178,-88,26.02,-10550896.159148507,-13748203.065677434
-178,-87,45.46,-10550896.159148507,-12370735.362810196
-178,-86,53.89,-10550896.159148507,-11393108.636102777
-178,-85,58.15,-10550896.159148507,-10634494.268930687
-178,-84,78.74,-10550896.159148507,-10014346.264941249
-178,-83,99.34,-10550896.159148507,-9489698.822323818
-178,-82,93.12,-10550896.159148507,-9034905.06735451
-178,-81,49.41,-10550896.159148507,-8633422.118044501
-178,-80,-27.78,-10550896.159148507,-8273954.485169323
-178,-79,-120.42,-10550896.159148507,-7948445.427955284
-178,-78,-209.67,-10550896.159148507,-7650946.01674496
-178,-77,-272.09,-10550896.159148507,-7376938.436567015
-178,-76,-276.4,-10550896.159148507,-7122910.7844191175
-178,-75,-202.97,-10550896.159148507,-6886078.91842339
-178,-74,-91.49,-10550896.159148507,-6664198.259637625
-178,-73,7.72,-10550896.159148507,-6455432.748868278
-178,-72,67.85,-10550896.159148507,-6258261.316551574
-178,-71,89.01,-10550896.159148507,-6071409.6741232835
-178,-70,80.78,-10550896.159148507,-5893799.621304472
-178,-69,43.55,-10550896.159148507,-5724510.734238345
-178,-68,-28.96,-10550896.159148507,-5562750.974221075
-178,-67,-119.82,-10550896.159148507,-5407833.834996518
-178,-65,-248.8,-10550896.159148507,-5116204.816284378
-178,-64,-267.02,-10550896.159148507,-4978503.219764019
